م | رقم صفحة المصدر | رقم الصفحة في الكتاب | القسم/الوحدة | عنوان الدرس/الموضوع | اسم الصورة الأصلي | اسم الصورة الجديد
53 | 53 | 49 | Unit 6 - Looking back | Tourism and the future | صفحة_53.jpg | p049 - Tourism and the future.jpg
54 | 54 | 50 | Arts reader | Blank Separator Page | صفحة_54.jpg | p050 - Blank Separator Page.jpg
55 | 55 |  | Arts reader | Arts reader cover | صفحة_55.jpg | front055 - Arts reader cover.jpg
56 | 56 | 51 | Arts reader | A difficult choice? | صفحة_56.jpg | p051 - A difficult choice -.jpg
57 | 57 | 52 | Arts reader | Proverbs and idioms | صفحة_57.jpg | p052 - Proverbs and idioms.jpg
58 | 58 | 53 | Arts reader | Telford Hall Episode 1 | صفحة_58.jpg | p053 - Telford Hall Episode 1.jpg
59 | 59 | 54 | Arts reader | A famous play by Shakespeare | صفحة_59.jpg | p054 - A famous play by Shakespeare.jpg
60 | 60 | 55 | Arts reader | Telford Hall Episode 2 | صفحة_60.jpg | p055 - Telford Hall Episode 2.jpg
61 | 61 | 56 | Arts reader | Telford Hall Episode 2 | صفحة_61.jpg | p056 - Telford Hall Episode 2.jpg
62 | 62 | 57 | Arts reader | Critics and criticism | صفحة_62.jpg | p057 - Critics and criticism.jpg
63 | 63 | 58 | Arts reader | Telford Hall Episode 3 | صفحة_63.jpg | p058 - Telford Hall Episode 3.jpg
64 | 64 | 59 | Arts reader | Telford Hall Episode 3 | صفحة_64.jpg | p059 - Telford Hall Episode 3.jpg
65 | 65 | 60 | Arts reader | Calligraphy | صفحة_65.jpg | p060 - Calligraphy.jpg
66 | 66 | 61 | Arts reader | A poem | صفحة_66.jpg | p061 - A poem.jpg
67 | 67 | 62 | Arts reader | Strange happenings | صفحة_67.jpg | p062 - Strange happenings.jpg
68 | 68 | 63 | Arts reader | Blank Separator Page | صفحة_68.jpg | p063 - Blank Separator Page.jpg
69 | 69 | 64 | Science reader | Science reader cover | صفحة_69.jpg | p064 - Science reader cover.jpg
70 | 70 | 65 | Science reader | Acids and alkalis | صفحة_70.jpg | p065 - Acids and alkalis.jpg
71 | 71 | 66 | Science reader | States of matter | صفحة_71.jpg | p066 - States of matter.jpg
72 | 72 | 67 | Science reader | Light | صفحة_72.jpg | p067 - Light.jpg
73 | 73 | 68 | Science reader | Sound | صفحة_73.jpg | p068 - Sound.jpg
74 | 74 | 69 | Science reader | Arab scientists | صفحة_74.jpg | p069 - Arab scientists.jpg
75 | 75 | 70 | Science reader | Vaccinations | صفحة_75.jpg | p070 - Vaccinations.jpg
76 | 76 | 71 | Science reader | Experimental procedures | صفحة_76.jpg | p071 - Experimental procedures.jpg
77 | 77 | 72 | Science reader | Internal combustion engine | صفحة_77.jpg | p072 - Internal combustion engine.jpg
78 | 78 | 73 | Science reader | The Moon | صفحة_78.jpg | p073 - The Moon.jpg
79 | 79 | 74 | Science reader | Radioactivity | صفحة_79.jpg | p074 - Radioactivity.jpg
80 | 80 |  | Back Matter | Publisher Contact Page | صفحة_80.jpg | front080 - Publisher Contact Page.jpg
81 | 81 |  | Back Matter | Back Cover | صفحة_81.jpg | front081 - Back Cover.jpg
